senti_words,score
낮은 지혜라는,-1.0
낮이 없거나,-1.0
낮잡는,-2.0
낮잡는 뜻으로,-2.0
낮잡아,-2.0
낮잡아 이르는,-2.0
낮추어,-2.0
낮추어 보거나,-2.0
낮추어 보듯이,-2.0
낮추어 보아,-2.0
낮추어 이르는,-2.0
낯부끄럽다,-1.0
낯설다,-1.0
낯이 설거나,-1.0
낯이 없거나,-1.0
낯이 없다는,-1.0
낳지 못하는,-1.0
내거나 불평을,-2.0
내구성이 좋아,2.0
내놓기가 싫다,-2.0
내는 성,-2.0
내던져 버리다,-2.0
내던져 버림,-2.0
내려가지 아니하여,-1.0
내려오는 병이나,-1.0
내리눌리다,-1.0
내밀었다가 허탕이,-1.0
내버려지다,-2.0
내버리거나,-2.0
내부의 싸움,-1.0
내색 없이,1.0
내소외친하다,-1.0
내송,-1.0
내송하다,-1.0
내숭스럽고,-1.0
내숭스럽고 거칠다,-2.0
내용으로 익살스럽게,1.0
내용이 못마땅하거나,-2.0
내쫓기다,-2.0
내쫓김을 당하다,-2.0
내쫓는,-2.0
내쫓는 일,-2.0
내쫓다,-2.0
내쫓아,-2.0
내키지 아니하거나,-1.0
내키지 아니하여,-1.0
내키지 않게,-1.0
내키지 않는,-1.0
내키지 않다,-1.0
내키지 않아,-1.0
냉담하다,-1.0
냉담한,-2.0
냉랭하거나,-2.0
냉랭하고,-2.0
냉랭하며,-2.0
너그러운,2.0
너그러운 데가,1.0
너그러운 마음으로,2.0
너그러운 모양,2.0
너그러워,2.0
너그러워 보이는,2.0
너그러이,2.0
너그럽게,2.0
너그럽게 듣다,2.0
너그럽게 보다,2.0
너그럽게 용서하다,2.0
너그럽게 이해하다,2.0
너그럽고,2.0
너그럽고 부드러운,2.0
너그럽고 상냥하면서,2.0
너그럽다,2.0
너그럽지 못하고,-1.0
너그럽지 못하다,-1.0
너무 기쁘거나,2.0
너무 더디거나,-2.0
너무 볼품없이,-2.0
너무 쇠약해지거나,-2.0
너무 예민하거나,-2.0
너무 지나치거나,-2.0
너무하다,-2.0
너불거리며,-1.0
너불거리며 까부는,-1.0
너불거리며 까불다,-1.0
너저분하게,-1.0
너저분하다,-1.0
너저분하여,-1.0
너저분하여 보일,-1.0
너저분한,-1.0
너저분한 상태가,-1.0
너저분해,-1.0
너저분해 보일,-1.0
너절하게,-2.0
너절하다,-2.0
너절한,-2.0
너절한 상태,-2.0
너절한 상태이다,-2.0
너프,-1.0
넉넉잡아야 고작,-1.0
넉넉하거나,2.0
넉넉하거나 많다,1.0
넉넉하게,1.0
넉넉하고,1.0
넉넉하고 많은,1.0
넉넉하고 많음,1.0
넉넉하고 윤택하게,1.0
넉넉하고 푸지다,1.0
넉넉하다,1.0
넉넉하여,1.0
넉넉하여 만족하다,2.0
넉넉하여 만족함,2.0
넉넉하지 못하고,-1.0
넉넉하지 못하여,-1.0
넉넉하지 못함,-1.0
넉넉하지 아니함,-1.0
넉넉한,1.0
넉살 좋게,1.0
넋을 잃다,1.0
넌더리가,-2.0
넌더리가 날,-2.0
넌덕스러운,1.0
넌덕스러운 말로,1.0
넌씨눈,-2.0
널리 알려지다,1.0
널리 알려진,1.0
널리 전하여,1.0
넓고 시원스럽다,2.0
넓은 마음으로,2.0
넘기기 좋게,1.0
넘기지 못한다는,-1.0
넘사,1.0
넘사벽,1.0
넘어지거나,-1.0
넘어지거나 주저앉는,-1.0
넘어지는 병,-1.0
넘어지며,-1.0
넘어질,-1.0
넘어질 듯,-1.0
넘치게 굴다,-1.0
넘치는 기쁨,2.0
노는 꼬락서니,-1.0
노는 짓을,1.0
노답,-2.0
노략질하는,-2.0
노략질하는 짓을,-2.0
노략질함을,-2.0
노려보다,-1.0
노력이나,1.0
노력하는,1.0
노력하다,1.0
노련하고,1.0
노름,-1.0
노름꾼이,-1.0
노름을 하거나,-1.0
노름판을 벌여,-1.0
노린 냄새가,-1.0
노숙자,-1.0
노여운,-2.0
노여운 감정이,-2.0
노여움,-2.0
노여움 따위를,-2.0
노여움 따위의,-1.0
노여움을,-2.0
노여움을 나타내다,-2.0
노엽거나,-2.0
노엽거나 언짢은,-2.0
노예,-2.0
노인의 병,-1.0
노인정,-1.0
노잼,-1.0
노하여,-2.0
노하여 화증,-2.0
노한다,-2.0
노함,-2.0
노후되다,-1.0
녹이 심하게,-2.0
논리가 없이,-1.0
논리적,1.0
논리적인,2.0
놀기만 하는,-1.0
놀기만 하다,-1.0
놀다,1.0
놀라거나,-1.0
놀라거나 두려워서,-2.0
놀라거나 떪,-2.0
놀라거나 무서워,-2.0
놀라거나 불안하여,-2.0
놀라거나 슬퍼서,-2.0
놀라거나 아파서,-2.0
놀라거나 어색한,-2.0
놀라거나 피곤하거나,-1.0
놀라고,-1.0
놀랍거나 언짢아서,-2.0
놀랍다,1.0
놀려,-1.0
놀려 말하는,-1.0
놀려 말하다,-1.0
놀리거나,-1.0
놀리는,-1.0
놀리는 말투나,-1.0
놀리는 모양,-1.0
놀리는 짓을,-1.0
놀리는 태도가,-1.0
놀리는 태도로,-1.0
놀리다,-1.0
놀리다 비아냥대다,-2.0
놀릴,-1.0
놀릴 때,-1.0
놀림,-1.0
놀림 받다,-1.0
놀림과,-1.0
놀림받다,-1.0
놀림을,-1.0
놀림을 받게,-1.0
놀림조,-2.0
놀림조로,-2.0
놀림조로 이르는,-2.0
놀아나는,-1.0
놀아나는 짓,-1.0
농락하여,-2.0
농지거리를,-2.0
농지거리를 하다,-2.0
높거나,1.0
높거나 가치가,1.0
높고,1.0
높고 뛰어나다,2.0
높고 맑다,2.0
높고 빼어나게,2.0
높다,1.0
높여 부르는,1.0
높여 이르는,1.0
높은,1.0
높은 경지로,1.0
높은 경지에,1.0
높은 등급으로,1.0
높은 성적,2.0
높은 수준에,2.0
높은 작위,2.0
높이 받들다,1.0
높이 받듦,1.0
높이 평가하거나,2.0
높이 평가하다,2.0
높이다,1.0
놓쳐,-1.0
놓쳐 헤어지게,-1.0
놓치다,-1.0
뇌물을,-1.0
뇌물의,-1.0
뇌물의 성격을,-1.0
뇌성 마비에서,-1.0
뇌의 장애로,-2.0
뇌종양,-2.0
뇌진탕,-2.0
뇌출혈,-2.0
뇌타박상,-2.0
누그러지거나 부드러운,1.0
누그러지거나 부드럽다,1.0
누그럽거나 부드러운,1.0
누그럽거나 부드럽다,1.0
누르기 어려워하다,-1.0
누리게 하다,1.0
눈곱이나,-1.0
눈꼴 사납게,-2.0
눈꼴사납게,-2.0
눈꼴사납고,-2.0
눈꼴사납다,-2.0
눈뜬장님,-1.0
눈매가 또렷하다,1.0
눈매가 뚜렷하다,1.0
눈물,-1.0
눈물겹다,-2.0
눈물을 흘리다,-2.0
눈물을 흘리며,-1.0
눈물이,-1.0
눈물이 나며,-1.0
눈물이 넘칠듯이,-2.0
눈물이 많이,-2.0
눈물이 좔좔,-2.0
눈빛이 반짝이다,1.0
눈새,-1.0
눈알을 경망스럽게,-2.0
눈알이 우묵해지다,-1.0
눈앞에 생생하게,1.0
눈앞에서 귀찮게,-1.0
눈에 거슬려,-1.0
눈에 거슬리는,-1.0
눈에 거슬리다,-2.0
눈에 눈물이,-1.0
눈에 뛸,1.0
눈을 멋없이,-1.0
눈을 속여,-1.0
눈을 속임,-1.0
눈을 즐겁게,2.0
눈이 가렵고,-1.0
눈이 깔깔하거나,-1.0
눈이 부시어,1.0
눈이 좀스럽게,-1.0
눈이 풀려서,-1.0
눈치가 빠르거나,1.0
눈치를,-1.0
눈치를 보며,-1.0
눌러 없애다,-2.0
눌려 졸아들고,-1.0
뉘우치고,1.0
뉘우치고 고침,1.0
뉘우치고 바로잡아,1.0
뉘우치다,0.0
뉘우치지 못함을,-1.0
뉘우침,0.0
뉘우침이 없음,-1.0
느개비,-2.0
느글거리는,-2.0
느글거리는 모양,-2.0
느글거리다,-2.0
느글대다,-2.0
느금마,-2.0
느끼는 감동이나,2.0
느끼는 고통,-2.0
느끼지 못하는,-1.0
느끼하다,-2.0
느끼해지는 모양,-2.0
느끼해지다,-2.0
느낌이 깨끗하고,1.0
느낌이 부드럽게,1.0
느낌이 시원하고,1.0
느리고 굼뜨다,-1.0
느리다,-1.0
느릿느릿,-1.0
느릿느릿 굼뜨게,-1.0
느릿느릿 행동하는,-1.0
느릿느릿 힘없는,-1.0
느물거려,-1.0
느물거리는,-1.0
느물거리는 모양,-1.0
느즈러져,-1.0
늘 병치레를,-1.0
늘 소중하게,2.0
늘 앓거나,-2.0
늘씬한,1.0
늘씬한 모양,1.0
늘어나다,-1.0
늙거나,-1.0
늙어 빠진,-1.0
늙어서,-1.0
늙은이를 낮잡아,-2.0
능글능글하다,-1.0
능글능글한,1.0
능글능글한 모양,1.0
능글맞게 하다,1.0
능글맞고,-1.0
능란하게,2.0
능력,1.0
능력을 믿고,1.0
능력이 뛰어나,2.0
능력이 뛰어나다,2.0
능력이 뛰어나다고,2.0
능력이 없는,-2.0
능력이 없다,-2.0
능력이 없어지다,-2.0
능력이 없이,-2.0
능력이 있다,2.0
능률이 나다,2.0
능수능간,2.0
능수능란,2.0
능숙하게,2.0
능숙하게 다루다,2.0
능숙하게 처리하다,2.0
능청맞고,-1.0
능청맞고 수선스럽게,-1.0
능청스러운,-1.0
능청스러운 짓을,-1.0
능청스럽게,0.0
능청스럽게 구는,-1.0
능청스럽게 굴다,0.0
능청스럽고,-1.0
능청스럽고 음흉한,-1.0
능청을,-1.0
능청을 부리며,-1.0
능통한,2.0
능통한 재주,2.0
능하고,2.0
능하다,2.0
능히,2.0
능히 처리하다,2.0
능히 해내거나,2.0
늦다,-1.0
늦어지는,-1.0
늦어지는 모양,-1.0
늦어지다,-1.0
ㄷㅊ,-1.0
다 까칠하거나,-1.0
다 없애,-1.0
다 좋도록,2.0
다 탐스럽게,2.0
다그치다,-1.0
다그치며 몰아세우다,-1.0
다급하게,-1.0
다급하여,-1.0
다독거리다,1.0
다독다독,1.0
다독다독하다,1.0
다듬어지지 않은,-1.0
다랍게,-1.0
다랍게 아첨을,-1.0
다루기가 거북하고,-2.0
다루기에 손쉽게,1.0
다리가 무겁고,-1.0
다리가 약해져서,-1.0
다리가 잘못되어,-1.0
다리를 잘망스럽게,-1.0
다리를 절다,-1.0
다리를 절며,-1.0
다리를 절면서,-1.0
다부지게 하지 못하고,-1.0
다부지지 못하고,-1.0
다부지지 못하여,-1.0
다소 건방지게,-2.0
다소 비굴하게,-2.0
다소 엉뚱하게,-1.0
다시 살아나거나,1.0
다시 성해지다,1.0
다시 친숙해지다,1.0
다시 평안하다,1.0
다양하다,1.0
다정하고,2.0
다정하고 친절하게,2.0
다정하고 친절하다,2.0
다정하다,2.0
다정하지 않고,-1.0
다채롭다,1.0
다치거나,-1.0
다치거나 맞거나,-1.0
다치거나 하여,-1.0
다치게 하다,-2.0
다치게 함,-2.0
다치게 함으로써,-2.0
다치다,-1.0
다친 데나,-1.0
다친다는,-1.0
다친다는 뜻으로,-1.0
다침,-2.0
다투거나,-2.0
다투거나 우기다,-2.0
다투는,-2.0
다투는 것을,-2.0
다투는 모양,-2.0
다투는 소리,-2.0
다투다,-2.0
다툼을,-2.0
다하여 싸우다,1.0
다하여 없다,-1.0
다행스럽다,1.0
닥쳐오다,-1.0
닦달하거나,-2.0
단념할,-1.0
단념할 수밖에,-1.0
단단하게,1.0
단단하고,1.0
단단하고 굳세거나,1.0
단단하고 굳세다,1.0
단단히 가다듬다,1.0
단단히 꾸짖어,-2.0
단련되고,1.0
단련되고 굳세어지다,1.0
단련되다,1.0
단번에 빼앗다,-1.0
단아하게,2.0
단아하게 건정히,2.0
단작스럽게,-1.0
단정하게,2.0
단정하게 차린,2.0
단정하게 포개다,2.0
단정하다,2.0
단정하지 못하고,-1.0
단정하지 못하며,-1.0
단정하지 못한,-1.0
단출하게,2.0
달갑지 아니하거나,-1.0
달갑지 아니하게,-1.0
달갑지 아니하여,-1.0
달갑지 아니하여서,-1.0
달갑지 아니한,-1.0
달갑지 아니한 태도를,-1.0
달갑지 않거나,-1.0
달갑지 않다,-1.0
달갑지 않은,-1.0
달갑지 않은 음식을,-1.0
달거나,1.0
달거나 달콤하다,1.0
달달하다,1.0
달뜬,1.0
달뜬 느낌,1.0
달뜬 상태이다,1.0
달뜸,1.0
달래는 모양,1.0
달래다,1.0
달래어 편하게,1.0
달성감,1.0
달성하다,1.0
달성한,1.0
달아남,-1.0
달콤하고,1.0
달콤하고 정다운,1.0
달콤하다,1.0
달콤한,1.0
달콤한 느낌,1.0
달콤한 말,1.0
닳아,-1.0
담력과 지혜를,1.0
담력이 약함을,-1.0
답답하거나,-1.0
답답하게,-1.0
답답하게 여기다,-1.0
답답하고,-1.0
답답하고 갑갑한,-2.0
답답하고 분한,-2.0
답답하고 분함,-2.0
답답하고 안타깝게,-2.0
답답하다,-1.0
답답하며,-1.0
답답하여,-1.0
답답하여 활기가,-1.0
답답하여진다,-1.0
답답한,-1.0
답답한 데,-1.0
답답한 마음이,-1.0
답답한 모양,-1.0
답답한 상태에서,-1.0
답답한 증상,-1.0
답답한 증세,-1.0
답답할,-1.0
답답할 때,-1.0
답답할 정도로,-1.0
답답함,-1.0
답답해진다,-1.0
당당하게,1.0
당당하게 말하다,1.0
당당하고,1.0
당당하고 떳떳하게,1.0
당당하다,1.0
당차지 못하고,-1.0
당찮다,-1.0
당하거나 배척되다,-2.0
당하다,-1.0
당하였던,-1.0
당하였던 일이,-1.0
당한 것을,-1.0
당한 고통을,-2.0
당황하다,-1.0
당황하여,-1.0
당황한,-2.0
당황해하는,-1.0
당황해하는 모양,-1.0
당황해하다,-1.0
대가,1.0
대가 없이 내놓다,1.0
대강 하고,-1.0
대강대강,-1.0
대강대강 아무렇게나,-1.0
대견하고,1.0
대구하는 짓을,-1.0
대꾸하는,-1.0
대단치 아니하거나,-1.0
대단치 않은,-1.0
대단하거나,2.0
대단하거나 강하다,2.0
대단하고,2.0
대단하고 극진하게,2.0
대단하고 극진하다,2.0
대단하고 극진한,2.0
대단하다,2.0
대단한,2.0
대단한 상태에,2.0
대단히 괜찮음,2.0
대담하고,1.0
대담하고 시원스럽게,1.0
대담하지 못하고,-1.0
대드는 짓,-2.0
대들다,-2.0
대립으로,-1.0
대립하는,-1.0
대립하는 관계에,-1.0
대상,1.0
대상을 무서워하여,-2.0
대상을 아끼고,1.0
대상을 위협하기,-2.0
대상이 시원스럽도록,1.0
대수롭지 아니하거나,-1.0
대수롭지 아니하고,-1.0
대수롭지 아니하다,-1.0
대수롭지 아니한,-1.0
대열을 깨끗이,1.0
대접,1.0
대접하기,1.0
대접하는,1.0
대접하는 일,1.0
대접함,1.0
대중없이,-1.0
대중없이 날뛰는,-1.0
대중이 없다,-1.0
대책이 없이,-1.0
대충 하고,-1.0
대충대충,-1.0
대충대충 일을,-1.0
대충대충 하는,-1.0
대충대충 하다,-1.0
대충하다,-1.0
대할 만하게,1.0
대할 만하다,1.0
더 강하게,2.0
더 강하고,2.0
더 높거나,1.0
더 높은,1.0
더 좋게,2.0
더 필요한,0.0
더들다,0.0
더듬는,0.0
더듬는 모양,0.0
더디거나,-1.0
더디거나 지루하여,-1.0
더디다,-1.0
더딘,-1.0
더딘 모양,-1.0
더러운,-2.0
더러운 데가,-2.0
더러운 도랑이라는,-2.0
더러운 때에,-2.0
더러운 모양,-2.0
더러운 무리,-2.0
더러운 점,-2.0
더러움,-2.0
더러움을 씻고,1.0
더러워,-2.0
더러워져서,-2.0
더러워지거나,-2.0
더러워지다,-2.0
더러워진,-2.0
더러워진 상태,-2.0
더러워진 옷,-2.0
더럽게,-2.0
더럽게 꼴로,-2.0
더럽게 생각하고,-2.0
더럽게 아첨을,-2.0
더럽게 여겨져,-2.0
더럽고,-2.0
더럽고 궁상스러운,-2.0
더럽고 치사하여,-2.0
더럽다,-2.0
더럽혀서,-2.0
더럽혀서 쓰지,-1.0
더럽혀진,-2.0
더럽혀진 물,-2.0
더럽히는,-2.0
더럽히는 일을,-2.0
더럽히는 짓을,-2.0
더럽히다,-2.0
더부룩이,-2.0
더부룩하고,-2.0
더부룩하다,-2.0
더부룩하면서,-1.0
더부룩하여,-1.0
더없이,1.0
더없이 뛰어난,2.0
더욱 든든하고,1.0
더욱 심해지는,-2.0
더위를 먹어서,-1.0
더위에 괴로워하는,-2.0
더하다,1.0
더할 나위 없이,1.0
더할 나위 없이 맑고,2.0
더할 나위 없이 좋음,2.0
더할 바 없이,1.0
더할 수 없이,1.0
덕,2.0
덕망을 갖춘,1.0
덕망이 높고,2.0
덕망이 높은,2.0
덕망이 뛰어난,2.0
덕을,2.0
덕을 보다,2.0
덕을 봄,2.0
덕을 찬미한,2.0
덕이 넓어,2.0
덕이 높고,2.0
덕이 있는,2.0
덕이 훌륭하고,2.0
덕이라는,2.0
덕행을,2.0
덕행을 닦는,2.0
덕행이,2.0
덕행이 높고,2.0
덕행이 뛰어나,2.0
덜렁거리며,-1.0
덜렁거리며 돌아다니는,-1.0
덤벼들어,-2.0
덤비거나,-2.0
덤비는 짓을,-2.0
덤비다,-2.0
덥거나,-1.0
덥다,-1.0
덧나다,-1.0
덩이가 볼품없이,-2.0
덮어 주다,0.0
데 적합하다,2.0
데면데면하게,-1.0
데면데면하다,-1.0
데면데면함,-1.0
도덕적,2.0
도덕적 기준에,1.0
도도하게,0.0
도도하게 행동하다,0.0
도둑,-1.0
도둑을 맞은,-2.0
도둑질하다,-2.0
도둑질한,-2.0
도리,1.0
도리가 없다,-2.0
도리가 없이,-2.0
도리를 깨닫는,1.0
도리어 말대답을,-1.0
도리에 어그러지고,-2.0
도리에 어긋남에도,-2.0
도망하는,-1.0
도망하는 짓,-1.0
도박에서 져서,-2.0
도살되다,-1.0
도살하다,-1.0
도와서 이루어지도록,1.0
도와주다,1.0
도외시하다,-1.0
도움,1.0
도움을 얻다,1.0
도움을 주는,2.0
도움이 되는,2.0
도움이 될 만한,2.0
도의심이 없다,-1.0
도의심이 없음,-1.0
도적질,-1.0
도중에 실패로,-2.0
독,-2.0
독 작용,-2.0
독감,-1.0
독보적,1.0
독사,-2.0
독살스러운,-2.0
독살스러운 데가,-2.0
독이,-2.0
독차지함,-2.0
독창적,2.0
독창적인,2.0
독특하다,1.0
독하거나,-2.0
독한,-2.0
독한 냄새,-2.0
돈을 빼앗기거나,-2.0
돈을 축냄,-2.0
돈이 많음,1.0
돋는다,1.0
돋보이다,1.0
돋우다,1.0
돌겠네,-2.0
돌과 같은 머리라는,-2.0
돌머리,-1.0
돌보지 아니하다,-1.0
돌보지 않음을,-1.0
돌봄이 없이,-1.0
돌아보아지지 않고,-1.0
돌아보지 아니하다,-1.0
돌아보지 아니함,-1.0
돕는 마음,2.0
돕다,2.0
동경하고,2.0
동기 부여하다,1.0
동기를 부여하다,1.0
동기부여하다,1.0
동의?어보감,1.0
동작이 거칠게,-2.0
동작이 느리고,-1.0
동통,-1.0
되거나,-1.0
되거나 맵짜다,-1.0
되는 서러운,-2.0
되는대로 마구,-1.0
되는대로 지껄이다,-2.0
되는대로 팽개치다,-2.0
되바라지게,-2.0
되바라지게 행동하는,-2.0
되바라지게 행동하다,-2.0
되어 무안하고,-1.0
되지 못하다,-2.0
되지 아니하거나,-1.0
되지 아니하면서,-1.0
되지 아니하여,-1.0
되지 않고,-1.0
되지 않아,-1.0
되지못한,-2.0
되지못한 소리로,-2.0
되지못한 희떠운,-2.0
되찾는,1.0
되찾는 일,1.0
되풀이되어 물리거나,-1.0
됨됨이가 뛰어나고,2.0
됨됨이가 원숙하여,2.0
두근거리다,1.0
두드러지게 뛰어나다,2.0
두드러지다,1.0
두드러진 보람,1.0
두려운,-2.0
두려운 마음을,-2.0
두려운 마음이,-2.0
두려운 인물이,-2.0
두려움,-2.0
두려움 따위를,-2.0
두려움으로,-2.0
두려움을,-2.0
두려움을 주는,-2.0
두려움이나,-2.0
두려워,-2.0
두려워서,-2.0
두려워서 몸을,-2.0
두려워하는,-2.0
두려워하는 병,-2.0
두려워하다,-1.0
두려워하여,-2.0
두려워하여 경계하는,-2.0
두려워하지 아니하다,1.0
두려워하지 아니함,1.0
두려워함,-2.0
두렵거나,-2.0
두렵거나 무서워,-2.0
두렵거나 싫어서,-2.0
두렵거나 춥거나,-2.0
두렵거나 흥분,-2.0
두렵고,-2.0
두렵고 무서움,-2.0
두렵다,-2.0
두창을,-2.0
두창을 앓을,-2.0
두터운 덕이라는,2.0
두터운 혜택이나,2.0
두텁다,1.0
두통,-2.0
두통이나,-1.0
둔하게,-1.0
둔하고,-1.0
둔하고 미련한,-2.0
둔하다,-1.0
둔한,-1.0
둔한 데가,-1.0
뒤가 무지근한,-1.0
뒤끓다,-2.0
뒤떨어져,-2.0
뒤떨어지거나,-2.0
뒤떨어지거나 모자라다,-2.0
뒤떨어지거나 못하다,-2.0
뒤로 물러나다,-1.0
뒤바뀌어 지다,-1.0
뒤바뀌어 짐,-1.0
뒤섞거나,-1.0
뒤섞거나 뒤얽히게,-1.0
뒤섞여 너저분하다,-1.0
뒤섞이거나 뒤얽혀,-1.0
뒤숭숭하게,-1.0
뒤숭숭하다,-1.0
뒤숭숭한,-1.0
뒤숭숭한 느낌,-1.0
뒤숭숭한 시기,-1.0
뒤숭숭함,-1.0
뒤얽혀,-1.0
뒤얽히게,-1.0
뒤얽히게 하다,-1.0
뒤엉키어,-1.0
뒤에 처지다,-1.0
뒤져 있다,-1.0
뒤지어 훔치다,-2.0
뒤척거리다,-1.0
뒤틀리다,-2.0
뒤틀리어서,-2.0
뒷거래하다,-1.0
드높은,1.0
드높은 모양,1.0
드러나는 멋,2.0
드러내어 뽐낼,2.0
드러내어 탓하다,-1.0
드문드문 벗어진,-1.0
드센,-1.0
득템,2.0
든든하고,2.0
든든하고 굳세다,2.0
든든하고 튼튼하다,2.0
든든하다,2.0
든든하지 못해서,-1.0
든든히,2.0
든든히 의지할,2.0
듣기 거북하게,-2.0
듣기 거북한,-2.0
듣기 싫게,-2.0
듣기 싫도록,-2.0
듣기 싫은,-2.0
듣기 좋게,2.0
듣기 좋은,2.0
듣기 좋을,2.0
듣기에 상쾌하다,2.0
듣보잡,-1.0
들기 좋을,2.0
들끓다,-2.0
들떠서 건들거리고,-1.0
들떠서 두근거리다,2.0
들뜬,1.0
들뜬 상태에,1.0
들먹이며 우쭐하다,1.0
들먹이며 우쭐해하다,1.0
들볶거나,-1.0
들볶거나 번거롭게,-2.0
들볶다,-1.0
들어 앓는,-2.0
들어맞다,2.0
들어오지 못하게,-1.0
들지 아니하거나,-2.0
들지 아니하여,-2.0
들추어내어 일러바치다,-2.0
듯이 날뛰다,1.0
듯이 날뜀,1.0
등급이 낮은,-1.0
등급이 떨어지고,-1.0
등뼈가 굽어,-1.0
등지게 되다,-1.0
따가운,-1.0
따가운 느낌,-1.0
따가운 느낌이,-1.0
따가울,-1.0
따가울 정도로,-1.0
따금대다,-1.0
따끔거리는,-1.0
따끔거리는 느낌이,-1.0
따끔따끔히,-1.0
따끔하게,-1.0
따끔하게 내리는,-1.0
따끔하게 울리다,-1.0
따끔히,-1.0
따돌리거나 멀리함,-2.0
따돌림을,-2.0
따돌림을 당하거나,-2.0
따돌림을 당하여,-2.0
따뜻이,2.0
따뜻이 어루만져,2.0
따뜻하게,2.0
따뜻하고,2.0
따뜻하고 포근한,2.0
따뜻하다,2.0
따뜻하며,2.0
따뜻하여,2.0
따뜻하여 편안하다,2.0
따뜻하여 편안한,2.0
따뜻하지 않다는,-1.0
따뜻한,2.0
따뜻한 느낌,2.0
따뜻한 보호,2.0
따르지 못하거나,-1.0
따르지 않고,-2.0
따름,1.0
따분하고,-1.0
따스함이 있게,2.0
따스함이 있다,2.0
따위가 급하고,-1.0
따위가 기쁘고,2.0
따위가 덧나다,-1.0
따위가 상서롭다,2.0
따위가 성가시고,-2.0
따위가 술렁거리어,-1.0
따위가 왕성하다,1.0
따위가 흐뭇하고,2.0
따위를 아프고,-2.0
따지고,-1.0
따지고 들다,-1.0
따지며,-1.0
따지며 싸우다,-2.0
딱 알맞다,2.0
딱딱대다,-1.0
딱딱한 말씨로,-2.0
딱하거나,-1.0
딱하게,-1.0
딱하게 되어,-1.0
딱하게 여기다,-1.0
딱하고,-2.0
딱하고 불쌍하게,-2.0
딱하다,-2.0
딱하여,-2.0
딱한,-2.0
딱한 사정에,-2.0
딱한 일을,-2.0
딱한 형편을,-2.0
딱한 형편이,-2.0
딱함,-2.0
딴전을,-1.0
딴전을 부림을,-1.0
딸바보,1.0
때가,-1.0
때가 끼어서,-1.0
때가 늦음,-1.0
때가 찌들어서,-2.0
때나,-1.0
때려,-1.0
때려 죽여서,-2.0
때려서,-1.0
때려서 상처를,-1.0
때를 없애다,1.0
때를 없앰,1.0
때리는,-1.0
때리는 일,-1.0
때리는 일을,-1.0
때림을,-1.0
때림을 이르는,-1.0
떠넘기려고,-1.0
떠넘기려고 하다,-1.0
떠드는,-1.0
떠드는 모양,-1.0
떠들거나,-1.0
떠들다,-1.0
떠들며,-1.0
떠들썩대다,-1.0
떠들썩하게,0.0
떠들썩하다,-1.0
떠들어,-1.0
떠들어 대는,-1.0
떠들어 대다,-1.0
떠들어서,-1.0
떠벌리다,-2.0
떡실신,-2.0
떨구다,-1.0
떨다,-1.0
떨림,-1.0
떨며,-1.0
떨며 조심하다,-1.0
떨며 조심함,-1.0
떨어져 나가다,-1.0
떨어지는 증상,-1.0
떨어지다,-1.0
떨어트리다,-1.0
떪,-1.0
떳떳하게,1.0
떳떳하고,2.0
떳떳하고 올바르게,2.0
떳떳하고 올바르다,2.0
떳떳하다,2.0
떳떳하지 못하거나,-2.0
떳떳하지 못하게,-2.0
떳떳하지 못하다,-2.0
떳떳하지 못하여,-2.0
떳떳하지 못한,-2.0
떳떳한,2.0
떳떳한 도리를,2.0
떳떳한 모습이나,2.0
떼를 쓰며,-1.0
또는 순수하게,1.0
또는 슬프게,-2.0
또는 즐겁고,2.0
또라이,-2.0
또랑또랑하여,2.0
또렷또렷,1.0
또렷또렷하다,1.0
또렷또렷한,1.0
또렷이,1.0
또렷하게 하다,1.0
또렷하다,1.0
또렷하지 못하고,-1.0
또렷하지 아니하고,-1.0
또렷한,1.0
또렷한 상태로,1.0
또박또박하게,1.0
또박또박하게 하는,1.0
또박또박하게 하다,1.0
똑똑하고,2.0
똑똑하고 뚜렷하게,2.0
똑똑하고 뚜렷하다,2.0
똑똑하고 영리하게,2.0
똑똑하다,2.0
똑똑하지 못하고,-1.0
똑똑하지 못하다,-1.0
똑똑하지 못하여,-1.0
똑똑하지 못한,-1.0
똑똑하지 않은,-1.0
똑똑한,2.0
똑똑한 모양,2.0
똑바르다,2.0
똘똘하지 못하고,-1.0
똘똘히,2.0
똥꼬충,-2.0
똥똥하게,-1.0
똥똥한,-1.0
똥똥한 모양,-1.0
뚜렷하게,1.0
뚜렷하고,1.0
뚜렷하고 크다,1.0
뚜렷하다,1.0
뚜렷하여,1.0
뚜렷하지 아니하다,-1.0
뚜렷하지 않은,-1.0
뚝둑하고,-1.0
뚫고 지나가다,1.0
뚫어트리다,1.0
뚱뚱하다,-1.0
뚱뚱한,-1.0
뚱뚱한 사람,-1.0
뛰어나,2.0
뛰어나 유명한,2.0
뛰어나 존경받는,2.0
뛰어나거나,2.0
뛰어나게,2.0
뛰어나게 세다,2.0
뛰어나게 훌륭한,2.0
뛰어나고,2.0
뛰어나고 특이하다,2.0
뛰어나고 훌륭하게,2.0
뛰어나고 훌륭하다,2.0
뛰어나고 훌륭한,2.0
뛰어나다,2.0
뛰어나다는,2.0
뛰어나다는 뜻에서,2.0
뛰어난,2.0
뛰어난 것,2.0
뛰어난 견해,2.0
뛰어난 경지에,2.0
뛰어난 대가,2.0
뛰어난 덕,2.0
뛰어난 명장,2.0
뛰어난 모양,2.0
뛰어난 문채로,2.0
