senti_words,score
간직하다,1.0
간직하지 아니하고,-1.0
간질,-1.0
간질간질하다,-1.0
간질간질한,-1.0
간질간질한 느낌,-1.0
간편하거나,2.0
간편하다,2.0
갈강병균이,-1.0
갈라서다,-1.0
갈라지는 피부병,-1.0
갈색굳음병,-1.0
갈증이 나고,-1.0
갈증이 심하게,-1.0
갈팡질팡,-1.0
갈팡질팡하다,-1.0
갈팡질팡하며,-1.0
갈피를 잡을 수 없다,-1.0
갈피를 잡지 못하고,-1.0
갈피를 잡지 못하고 이리저리 헤매는 모양,-1.0
갈피를 잡지 못하는,-1.0
갈피를 잡지 못하다,-1.0
감각이 둔하고,-1.0
감각이 마비되고,-1.0
감각적이다,1.0
감감히,-1.0
감개무량하다,2.0
감격,2.0
감격성,2.0
감격스럽다,2.0
감격스레,2.0
감격이,2.0
감격적,2.0
감격하다,2.0
감격하여,2.0
감금하여,-2.0
감기,-1.0
감기가,-1.0
감기가 들어,-1.0
감기나,-1.0
감기나 천식,-1.0
감기로,-1.0
감기로 인하여,-1.0
감당하다,1.0
감동,2.0
감동시킬,1.0
감동시킬 만한,1.0
감동을 받아,2.0
감동을 일으킬,2.0
감동을 주거나,2.0
감동이,2.0
감동이 되는,2.0
감동이나,2.0
감동이나 고마움을,2.0
감동하는,2.0
감동하다,2.0
감동하여,2.0
감동함,2.0
감명되다,2.0
감명적,2.0
감명하다,2.0
감모,1.0
감미롭다,2.0
감병,-1.0
감복하다,2.0
감복하여,2.0
감사,2.0
감사를 표하다,2.0
감사하는,2.0
감사하는 마음으로,2.0
감사하다,2.0
감싸고,1.0
감싸고 달래다,0.0
감옥,-1.0
감옥에,-1.0
감정 사납게,-1.0
감정을 건드려,-1.0
감정의 불화,-2.0
감정이 거칠어져,-1.0
감정이 북받쳐,1.0
감칠맛이 있을,2.0
감탄,2.0
감탄스러울,2.0
감탄스러울 때,2.0
감탄스럽다,2.0
감탄적으로,2.0
감탄하다,2.0
감탄할,2.0
감탄할 때,2.0
감회가 새롭거나,2.0
감회에 젖음,2.0
갑갑궁금하다,-1.0
갑갑하고 궁금하다,-1.0
갑갑하다,-1.0
갑갑한,-1.0
갑갑한 증상,-1.0
갑갑할,-1.0
갑갑할 정도로,-1.0
갑분띠,-1.0
갑분싸,-1.0
갑자기 게우는,-1.0
갑자기 놀라거나,-1.0
갑자기 놀라서,-1.0
갑자기 무섭거나,-1.0
갑자기 분별없이,-1.0
갑자기 서늘한,-1.0
갑자기 서늘한서늘한 느낌이,-1.0
갑자기 성을,-1.0
갑자기 소란스럽게,-1.0
갑자기 소름이,-1.0
갑자기 어지러워,-1.0
갑작스러워 두렵거나,-1.0
갑작스럽게 화를,-1.0
값을 매길 수 없을 만큼,2.0
값진,2.0
강간죄,-2.0
강개무량,-2.0
강개무량하다,-2.0
강구하다,0.0
강도가,-1.0
강등하여,-1.0
강렬하게,1.0
강박,-1.0
강박하여,-1.0
강세,1.0
강인하다,1.0
강인한,2.0
강제로,-1.0
강제로 누르는,-1.0
강제로 누르다,-2.0
강제로 누름,-2.0
강제로 빼앗는,-1.0
강제로 빼앗다,-1.0
강제로 빼앗아,-2.0
강제로 빼앗음,-1.0
강제로 요구하다,-1.0
강제적으로,-2.0
강추,2.0
강탈,-2.0
강탈하다,-2.0
강퇴,-1.0
강하게,1.0
강하게 만들다,2.0
강하게 하다,1.0
강하고,1.0
강하고 야무지게,2.0
강하고 야무지다,2.0
강하고 튼튼하게,2.0
강하다,1.0
강한 비판이나,-2.0
강한 충격을,-1.0
강화하다,1.0
갖지 아니하게,-1.0
갖추다,1.0
갖추지 못한,-1.0
같잖다,-1.0
같잖아서,-1.0
같잖아서 우스운,-1.0
같잖은,-1.0
같잖은 꼴로,-1.0
갚지 않다,-1.0
개가 무섭거나,-1.0
개가 아프거나,-1.0
개선,2.0
개선 방도를,2.0
개선하고,1.0
개선하다,2.0
개선함,2.0
개성,1.0
개성있는,1.0
개성있다,1.0
개운치 않거나,-1.0
개운하게,2.0
개운하고,2.0
개운하고 시원한,2.0
개운하고 홀가분해지다,2.0
개운하다,2.0
개운하지 않고,-1.0
개으름을,-1.0
개이득,2.0
개짓하다,-2.0
개회하다,0.0
갠소,1.0
갸륵한,1.0
갸륵한 데가,1.0
갸름하다,1.0
거꾸러뜨리다,-1.0
거꾸로 넘어지거나,-1.0
거두지 못한,-1.0
거드럭거드럭,-1.0
거드럭거리다,-1.0
거들먹거들먹,-1.0
거들먹거들먹하다,-1.0
거들먹거리다,-1.0
거들먹대다,-1.0
거들먹이다,-1.0
거듭 따뜻이,2.0
거듭 죄를,-1.0
거뜬하다,2.0
거래가 금지된,-1.0
거룩한,2.0
거룩한 모습,2.0
거룩한 사람,2.0
거리끼어,-1.0
거리낌 없이,1.0
거만스럽게,-2.0
거만을,-2.0
거만을 떠는,-2.0
거만을 떨다,-2.0
거만하게,-2.0
거만하게 행동하는,-2.0
거만하게 행동하다,-2.0
거만하고,-2.0
거만하다,-2.0
거만한,-1.0
거만한 태도로,-2.0
거무스름한 피고름이,-1.0
거볍게 까부는,-1.0
거볍게 성을,-1.0
거볍게 채신없이,-1.0
거볍게 행동하거나,-1.0
거볍게 행동하는,-1.0
거볍게 행동하다,-1.0
거볍고 온화하게,2.0
거부감,-2.0
거부감 없이,2.0
거부하거나,-2.0
거부하다,-1.0
거북스럽게,-2.0
거북스럽게 저는,-2.0
거북스럽게 절다,-2.0
거북하거나,-2.0
거북하거나 괴로움,-2.0
거북하거나 괴롭다,-2.0
거북하거나 더럽고,-2.0
거북하게,-2.0
거북하고,-2.0
거북하고 불편한,-2.0
거북하고 주체스럽게,-2.0
거북하다,-2.0
거북한,-2.0
거북한 모양,-2.0
거북한 상태로,-2.0
거북한 소리가,-2.0
거북할,-2.0
거북할 만큼,-2.0
거세고,-1.0
거세고 급하다,-1.0
거슬려,-1.0
거슬려 불쾌하다,-2.0
거슬리거나,-1.0
거슬리거나 마음이,-1.0
거슬리게,-1.0
거슬리게 싫다,-1.0
거슬리는,-1.0
거슬리는 느낌이,-1.0
거슬리다,-1.0
거슬림이 없이,2.0
거역하다,-1.0
거역함,-1.0
거의 없다,-1.0
거절하거나,-2.0
거절하거나 싫다는,-2.0
거절하다,-2.0
거짓,-2.0
거짓 없다,1.0
거짓말,-2.0
거짓말을,-1.0
거짓없다,1.0
거짓으로,-1.0
거짓으로 감정이나,-1.0
거짓으로 꾸며서,-1.0
거짓으로 꾸미는,-1.0
거짓으로 꾸미다,-1.0
거짓으로 꾸민,-1.0
거짓으로 속이다,-1.0
거짓으로 속임,-1.0
거짓을 버리고,2.0
거짓이 없고,2.0
거짓이 없다,2.0
거짓이 없이,2.0
거짓이나,-1.0
거추장스러워서,-1.0
거추장스러워서 거슬리거나,-1.0
거추장스럽거나,-1.0
거추장스럽거나 성가시어,-1.0
거추장스럽게,-1.0
거추장스럽게 걸리거나,-1.0
거추장스럽다,-1.0
거추장스레,-1.0
거치적거리는,-1.0
거치적거리는 소리,-1.0
거치적거치적,-1.0
거치적거치적하다,-1.0
거친,-2.0
거친 데가,-2.0
거친 말로,-2.0
거친 모양,-2.0
거친 목소리로,-2.0
거친 성질이나,-2.0
거친 소리가,-2.0
거칠거나 사납게,-2.0
거칠게,-2.0
거칠게 나는,-2.0
거칠게 된,-1.0
거칠게 말다툼하다,-2.0
거칠게 말함,-2.0
거칠게 몰아쉬는,-2.0
거칠게 몰아쉬다,-2.0
거칠게 소리가,-2.0
거칠게 쉬는,-2.0
거칠게 울려,-2.0
거칠게 일다,-2.0
거칠게 잇따라,-2.0
거칠게 행동하는,-1.0
거칠게 행동하다,-2.0
거칠고,-2.0
거칠고 가쁘게,-2.0
거칠고 격한,-2.0
거칠고 깔끄럽게,-2.0
거칠고 껄끄럽게,-2.0
거칠고 나쁘다,-2.0
거칠고 무뚝뚝하다,-2.0
거칠고 사나우며,-2.0
거칠고 세차다,-2.0
거칠고 심하다,-2.0
거칠고 험하게,-2.0
거칠고 험한,-2.0
거칠다,-2.0
거칠면서,-2.0
거칠면서 가쁘고,-2.0
거칠어져,-2.0
거침새가 없고,2.0
거침없이,1.0
거침이 없는,1.0
걱정,-2.0
걱정 같은,-1.0
걱정 따위로,-1.0
걱정 없이,2.0
걱정거리,-1.0
걱정과,-1.0
걱정과 근심,-1.0
걱정되거나,-1.0
걱정스러워서,-1.0
걱정스럽거나,-1.0
걱정스럽거나 조바심이,-1.0
걱정스럽다,-1.0
걱정으로,-1.0
걱정을,-1.0
걱정이,-1.0
걱정이 되거나,-1.0
걱정이 되는,-1.0
걱정이 되어,-1.0
걱정이 없고,2.0
걱정이 없는,1.0
걱정이나,-1.0
걱정이나 근심,-1.0
걱정이나 근심에,-1.0
걱정이나 언짢은,-2.0
걱정인 해를,-1.0
걱정하기는,-1.0
걱정하기는 하나,-1.0
걱정하는,-1.0
걱정하는 게,-1.0
걱정하다,-1.0
건강에 긍정적인,1.0
건강에 좋은,2.0
건강에 해로운,-2.0
